id,text,intent
1,Nay ăn phở 50k,add_expense
2,Công ty vừa chuyển lương 10 triệu,add_income
3,Tài khoản còn bao nhiêu,query_balance
4,Tháng này tôi tiêu bao nhiêu,query_expense
5,Tôi muốn tiết kiệm 30 triệu trong 6 tháng,saving_goal
6,Sáng nay mua bánh mì 25k,add_expense
7,Vừa nhận lương 12 củ,add_income
8,Giờ tài khoản còn bao nhiêu vậy?,query_balance
9,Từ đầu tháng tới giờ tiêu hết bao nhiêu rồi?,query_expense
10,Tháng này tiền ăn của tôi hết bao nhiêu?,query_category
11,Cho tôi giới hạn tiền ăn tháng này 2 triệu,set_budget
12,Tôi muốn để dành 20 triệu trong 4 tháng,saving_goal
13,Làm sao để quản lý chi tiêu hiệu quả?,financial_advice
14,Hôm nay Hà Nội có mưa không?,unknown
15,Mới mua đôi giày hết 800k,add_expense
16,Tối qua đi ăn lẩu hết 350k,add_expense
17,Mẹ vừa gửi cho mình 1 triệu,add_income
18,Ví của mình còn bao nhiêu tiền?,query_balance
19,Tuần này mình đã tiêu tổng cộng bao nhiêu?,query_expense
20,Khoản nào tháng này ngốn tiền nhất?,query_category
21,Ngân sách mua sắm tháng này đặt 3 triệu nhé,set_budget
22,Mỗi tháng cần tiết kiệm bao nhiêu để đủ 60 triệu sau 1 năm?,saving_goal
23,Có cách nào giúp tôi bớt tiêu tiền không?,financial_advice
24,Kể cho tôi một câu chuyện vui đi,unknown
25,Đổ xăng 70 nghìn rồi,add_expense
26,Sáng nay mua xôi 20k,add_expense
27,Ăn trưa hết 65 nghìn,add_expense
28,Mới cafe 45k,add_expense
29,Tối qua đi xem phim hết 180k,add_expense
30,Vừa thanh toán tiền điện 520 nghìn,add_expense
31,Mua sách hết 120k,add_expense
32,Đi taxi mất 90k,add_expense
33,Tháng này vừa đóng tiền nhà 5 triệu,add_expense
34,Mua thuốc hết 150 nghìn,add_expense
35,Hôm qua shopping hết 700k,add_expense
36,Ăn sáng 30 nghìn,add_expense
37,Đổ đầy bình xăng hết 60k,add_expense
38,Mua vé xe 200k,add_expense
39,Vừa trả tiền internet 300 nghìn,add_expense
40,Mới mua cái áo 350k,add_expense
41,Trưa nay ăn cơm hết 40k,add_expense
42,Mình vừa mua đồ dùng học tập 250 nghìn,add_expense
43,Đi Grab hết 75k,add_expense
44,Cuối tuần đi chơi tốn 500k,add_expense
45,Mua bánh sinh nhật 300 nghìn,add_expense
46,Đã thanh toán hóa đơn điện nước 800k,add_expense
47,Mua thuốc cảm 60k rồi,add_expense
48,Vừa mua tai nghe hết 1 triệu,add_expense
49,Ăn lẩu hết 450 nghìn,add_expense
50,Mới trả tiền thuê nhà 7 củ,add_expense
51,Công ty chuyển lương 15 triệu rồi,add_income
52,Vừa nhận lương tháng này 12 củ,add_income
53,Mình được thưởng 2 triệu,add_income
54,Mẹ gửi cho 500k,add_income
55,Vừa nhận tiền freelance 3 triệu,add_income
56,Công ty thưởng Tết 10 triệu,add_income
57,Hôm nay được người ta trả nợ 1 triệu,add_income
58,Vừa nhận 800 nghìn tiền làm thêm,add_income
59,Khách mới chuyển mình 5 triệu,add_income
60,Mình vừa nhận tiền bán đồ cũ 700k,add_income
61,Lương về tài khoản rồi 18 triệu,add_income
62,Được thưởng thêm 500 nghìn,add_income
63,Anh trai gửi mình 2 củ,add_income
64,Vừa nhận tiền dự án 20 triệu,add_income
65,Có người chuyển cho mình 300k,add_income
66,Tiền lương tháng này vừa về,add_income
67,Mình mới được trả công 1 triệu rưỡi,add_income
68,Nhận tiền bán chiếc điện thoại cũ 4 triệu,add_income
69,Vừa được hoàn tiền 200k,add_income
70,Có thêm 5 triệu tiền thưởng,add_income
71,Tài khoản hiện còn bao nhiêu tiền?,query_balance
72,Cho mình biết số dư hiện tại với,query_balance
73,Giờ mình còn bao nhiêu?,query_balance
74,Ví còn bao nhiêu vậy?,query_balance
75,Tôi còn dư bao nhiêu tiền?,query_balance
76,Số tiền trong tài khoản của tôi là bao nhiêu?,query_balance
77,Hiện tại còn lại bao nhiêu?,query_balance
78,Mình còn bao nhiêu trong ví?,query_balance
79,Tài chính hiện tại còn dư bao nhiêu?,query_balance
80,Số dư của mình giờ thế nào?,query_balance
81,Tháng này tổng chi bao nhiêu rồi?,query_expense
82,Từ đầu tháng đến giờ mình tiêu bao nhiêu?,query_expense
83,Tuần này chi hết bao nhiêu tiền?,query_expense
84,Hôm nay mình đã tiêu bao nhiêu?,query_expense
85,Tháng trước tổng cộng tiêu bao nhiêu?,query_expense
86,Trong 7 ngày qua tôi chi bao nhiêu?,query_expense
87,Năm nay mình đã tiêu tổng cộng bao nhiêu?,query_expense
