id,text,intent
405,Cho giải trí tối đa 700k mỗi tháng,set_budget
523,Lương về thì nên chia tiền thế nào?,financial_advice
750,Freelance vừa nhận 4 triệu,add_income
427,Sáng làm tô mì 30 nghìn,add_expense
42,Mình vừa mua đồ dùng học tập 250 nghìn,add_expense
496,Cho ăn uống ngân sách 2 triệu,set_budget
109,Tôi muốn giới hạn tiền giải trí ở mức 700 nghìn,set_budget
345,Ăn vặt chiều nay hết 45 nghìn,add_expense
57,Hôm nay được người ta trả nợ 1 triệu,add_income
260,Được bố mẹ cho 3 triệu,add_income
480,7 ngày qua mình tiêu bao nhiêu?,query_expense
626,Sáng nay ăn xôi hết 25k,add_expense
228,Mới gọi đồ ăn hết 120k,add_expense
213,Mục tiêu là có 50 triệu sau 10 tháng,saving_goal
594,Xăng xe hết bao nhiêu tiền?,query_category
333,Mua thuốc hết 125k ở nhà thuốc,add_expense
25,Đổ xăng 70 nghìn rồi,add_expense
781,Tháng trước tổng chi bao nhiêu?,query_expense
352,Vừa bán chiếc laptop cũ được 8 triệu,add_income
357,Vừa thu được khoản nợ 2 triệu,add_income
52,Vừa nhận lương tháng này 12 củ,add_income
332,Vừa thanh toán hóa đơn điện 380 nghìn,add_expense
734,Tiền phòng tháng này 4 triệu,add_expense
630,Mua cái áo mới 600k,add_expense
502,Đặt hạn mức mua sắm 2 triệu rưỡi,set_budget
335,Mua tài liệu học tập hết 180 nghìn,add_expense
286,Tháng này tiền ăn uống của mình hết bao nhiêu?,query_category
19,Tuần này mình đã tiêu tổng cộng bao nhiêu?,query_expense
585,Từ đầu năm tới giờ đã tiêu tổng cộng bao nhiêu?,query_expense
749,Mẹ gửi 1 triệu rưỡi,add_income
84,Hôm nay mình đã tiêu bao nhiêu?,query_expense
62,Được thưởng thêm 500 nghìn,add_income
463,Lương tháng này 17 triệu nhé,add_income
292,Chi phí thuốc men tháng này bao nhiêu?,query_category
448,Được thưởng 3 triệu,add_income
183,Tuần vừa rồi tôi đã tiêu bao nhiêu?,query_expense
550,Nhận tiền freelance 3 triệu rưỡi,add_income
501,Ăn uống không được vượt quá 2 củ,set_budget
224,Làm thế nào để lập ngân sách cá nhân?,financial_advice
425,Có cách nào kiểm soát chi tiêu mua sắm không?,financial_advice
468,Kiểm tra số dư giúp mình,query_balance
320,Làm thế nào để hạn chế tiêu tiền linh tinh?,financial_advice
329,Uống cà phê hết 50 nghìn rồi,add_expense
444,Mua quà hết 280k,add_expense
494,Xăng xe tháng này hết bao nhiêu?,query_category
177,Hiện giờ tôi còn bao nhiêu tiền?,query_balance
677,Từ đầu tháng đến giờ chi hết bao nhiêu?,query_expense
364,Vừa nhận tiền công 900k,add_income
164,Nhận tiền dự án 8 triệu,add_income
249,Khách thanh toán đơn hàng 3 triệu,add_income
519,Quỹ khẩn cấp là gì vậy?,financial_advice
711,Muốn dành dụm 10 triệu trong 3 tháng,saving_goal
75,Tôi còn dư bao nhiêu tiền?,query_balance
644,Mua quà sinh nhật 350k,add_expense
406,Mình muốn dành 20 triệu trong 5 tháng,saving_goal
105,Đặt mức 500 nghìn cho tiền điện,set_budget
115,Mục tiêu của tôi là dành dụm 30 triệu trong 1 năm,saving_goal
301,Tôi muốn đặt mức tối đa 2 triệu cho ăn uống,set_budget
93,Tôi đã tiêu bao nhiêu cho mua sắm?,query_category
